slide_index,name,category,price
23,"APRIL 6-9, 2026 | MOSCONE CENTER SAN FRANCISCO",Unknown,
25,ATTENDEE BAGS,Event Logistics,
26,BAG INSERTS,Event Logistics,
27,CHARGING STATIONS,Event Logistics,
28,COAT & BAG CHECK,Event Logistics,
29,EVENT APP,Event Logistics,
30,GRAB & GO CAFE,Event Logistics,
31,HOTEL KEY CARD,Event Logistics,
32,REGISTRATION SPONSORSHIP,Booth & Exhibit,
33,WELCOME DRINK SPONSORSHIP,Booth & Exhibit,
34,RESTROOM BRANDING,Booth & Exhibit,
35,SMART POD BRANDING,Booth & Exhibit,
36,STARTUP PITCH COMPETITION,Booth & Exhibit,
37,WATER BOTTLES,Booth & Exhibit,
38,EVENT SIGNAGESOUTH LOBBY ESCALATOR CLINGS,Booth & Exhibit,
39,EVENT SIGNAGESOUTH LOBBY COLUMN WRAP,Booth & Exhibit,
40,EVENT SIGNAGESOUTH LOBBY HANGING BANNER,Booth & Exhibit,
41,EVENT SIGNAGEEXHIBIT HALL ENTRANCE A CLING (LEFT SIDE),Booth & Exhibit,
42,EVENT SIGNAGEEXHIBIT HALL ENTRANCE A CLING (RIGHT SIDE),Booth & Exhibit,
43,EVENT SIGNAGEEXHIBIT HALL ESCALATOR RUNNER CLINGS (LEFT),Booth & Exhibit,
44,EVENT SIGNAGEEXHIBIT HALL ESCALATOR RUNNER CLINGS (RIGHT),Booth & Exhibit,
45,EVENT SIGNAGEEXHIBIT HALL STAIR CLINGS,Booth & Exhibit,
46,MINDSTONE EVENTS PACKAGE,Booth & Exhibit,
47,MINDSTONE EVENTS PACKAGE,Booth & Exhibit,
48,"HUMANX 2026 × MINDSTONE
PRACTICAL AI SUMMIT",Booth & Exhibit,
49,"HUMANX 2026 × MINDSTONE
PRACTICAL AI SUMMIT",Booth & Exhibit,
50,"CO-BRANDED THOUGHT
LEADERSHIP & MEDIA SPONSORSHIP",Booth & Exhibit,
51,"CO-BRANDED THOUGHT
LEADERSHIP & MEDIA SPONSORSHIP",Booth & Exhibit,
52,STANDING DIGITAL SIGNAGE - 30 SECONDS,Booth & Exhibit,
53,DIGITAL SIGNAGE,Booth & Exhibit,
54,STAGE ADS,Booth & Exhibit,
55,STAGE SIGNAGE,Booth & Exhibit,
56,WIFI SPONSORSHIP,Booth & Exhibit,
57,DAILY SIZZLE VIDEO,Booth & Exhibit,
58,HUMANX AI CLINIC,Booth & Exhibit,
59,HUMANX AI CLINIC,Booth & Exhibit,
60,PRE-CONFERENCE EMAIL BLAST,Booth & Exhibit,
61,MASTERCLASSES,Booth & Exhibit,
62,HANDS-ON MASTERCLASS,Booth & Exhibit,
63,PEER [X]CHANGE ROUNDTABLES,Booth & Exhibit,
64,PEER [X]CHANGE ROUNDTABLES,Booth & Exhibit,
65,PODCAST,Booth & Exhibit,
66,ONSITE PUSH NOTIFICATION,Booth & Exhibit,
67,SHOWCASE TALK,Booth & Exhibit,
68,TURNKEY STARTUP PACKAGE,Booth & Exhibit,
69,DELUXE TURNKEY STARTUP PACKAGE,Booth & Exhibit,
70,STARTUP SHOWCASE PACKAGE,Booth & Exhibit,
71,STARTUP PAVILIONS,Booth & Exhibit,
72,STARTUP KIOSK PAVILION - 10’x20’,Booth & Exhibit,
73,STARTUP KIOSK PAVILION - 20’x20’,Booth & Exhibit,
74,STARTUP KIOSK PAVILION - 20’x20’,Booth & Exhibit,
75,STARTUP KIOSK PAVILION - 20’x30’,Booth & Exhibit,
76,STARTUP KIOSK PAVILION - 20’x30’,Booth & Exhibit,
77,TURNKEY BOOTH PACKAGES,Booth & Exhibit,
78,TURNKEY 10’x10’ BOOTH PACKAGE,Booth & Exhibit,
79,TURNKEY 10’x20’ BOOTH PACKAGE,Booth & Exhibit,
80,TURNKEY 20’x20’ BOOTH PACKAGE,Booth & Exhibit,
81,TURNKEY 20’x20’ BOOTH PACKAGEUpgrade Option A,Booth & Exhibit,
82,TURNKEY 20’x20’ BOOTH PACKAGEUpgrade Option B,Booth & Exhibit,
83,TURNKEY 20’x30’ BOOTH PACKAGE,Booth & Exhibit,
84,TURNKEY 20’x20’ BOOTH PACKAGEUpgrade Option A,Booth & Exhibit,
85,"One (1) 70"" monitor behind reception counter",Booth & Exhibit,
86,"One (1) 70"" monitor behind reception counter",Booth & Exhibit,
87,RAW BOOTH SPACE,Booth & Exhibit,
88,SOLUTIONBRIDGE MEETINGS,Meeting Spaces,
89,VENTURECONNECTHOST,Meeting Spaces,
90,VENTURECONNECTMEETING POD,Meeting Spaces,
91,SOLUTIONBRIDGE LOUNGEHOST,Meeting Spaces,
92,SOLUTIONBRIDGE LOUNGEMEETING POD,Meeting Spaces,
93,HUMANX CONNECT,Meeting Spaces,
94,PRIVATE MEETING ROOM,Meeting Spaces,
95,MEETING SPACES10’x10’ MEETING POD,Meeting Spaces,
96,MEETING SPACES10’x10’  MEETING CUBE,Meeting Spaces,
97,MEETING SPACES10’x20’ MEETING CUBE,Meeting Spaces,
98,AI PHOTO BOOTH SPONSOR,Meeting Spaces,
99,BRANDED ROBOTS,Experience Sponsorships,
100,BYTES & BEER GARDEN,Experience Sponsorships,
101,DJ BOOTH,Experience Sponsorships,
102,DOG PARK,Experience Sponsorships,
103,HEADSHOT BOOTH,Experience Sponsorships,
104,INTERACTIVE GAMES LOUNGE,Experience Sponsorships,
105,SPEAKEASY LOUNGE,Experience Sponsorships,
106,WELLNESS LOUNGE,Experience Sponsorships,
107,MEDIA LOUNGE,Experience Sponsorships,
108,EXCLUSIVE SPEAKER LOUNGE,Experience Sponsorships,
109,EXCLUSIVE TRACK LOUNGEOwn the Hub. Power the Conversation.,Experience Sponsorships,
110,EXCLUSIVE TRACK LOUNGEOwn the Hub. Power the Conversation.,Experience Sponsorships,
111,THE RETRO ROOM LOUNGE,Premium Lounges & Events,
112,E[X]HIBITION HALL RECEPTIONBRANDED BAR,Premium Lounges & Events,
113,E[X]HIBITION HALL RECEPTIONBRANDED ACTIVATION,Premium Lounges & Events,
114,CLOSING RECEPTIONHOST,Premium Lounges & Events,
115,CLOSING RECEPTIONSUPPORTING,Premium Lounges & Events,
116,WOMEN @ HX RECEPTIONHOST,Premium Lounges & Events,
117,WOMEN @ HX RECEPTIONSUPPORTING,Premium Lounges & Events,
118,WOMEN @ HX LUNCHEON,Premium Lounges & Events,
119,SPONSORED MEAL FOR 50,Premium Lounges & Events,
120,SPONSORED MEAL FOR 75,Premium Lounges & Events,
121,SPONSORED MEAL FOR 100,Premium Lounges & Events,
122,HOSTED RECEPTION FOR 50,Premium Lounges & Events,
123,HOSTED RECEPTION FOR 75,Premium Lounges & Events,
124,HOSTED RECEPTION FOR 100,Premium Lounges & Events,
125,MEDIA BREAKFAST,Premium Lounges & Events,
126,INVESTOR RECEPTION,Premium Lounges & Events,
127,CXO LEADERSHIP SERIES SPONSORSHIP,Premium Lounges & Events,
128,CXO LEADERSHIP SERIES SPONSORSHIP,Premium Lounges & Events,
